canonical_len_ratio,canonical_similarity,cc_avg_diff,cc_max_diff,common_imports,common_subtrees,exact_match,func_count_diff,func_count_ratio,ident_jaccard,import_count_diff,import_jaccard,loc_avg,loc_diff,loc_ratio,node_hist_cosine,node_hist_jaccard,subtree_count_diff,subtree_hash_jaccard,is_plagiarized,file1,file2
1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,30.0,0.0,1.0,1.0,1.0,0.0,1.0,1,code_orig_51.py,code_trans_51.py
0.8572710951526032,0.7462542290961818,4.5,7.0,1.0,0.0,0.0,1.0,0.5,0.05555555555555555,0.0,0.3333333333333333,73.5,29.0,0.6704545454545454,0.9540492534316943,0.5384615384615384,6.0,0.0,0,code_orig_52.py,code_trans_52.py
0.9198693522046816,0.905,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,351.0,0.0,1.0,1.0000000000000002,1.0,0.0,0.0,1,code_orig_53.py,code_trans_53.py
0.44967682363804246,0.6184713375796178,0.0,0.0,1.0,0.0,0.0,2.0,0.3333333333333333,0.2727272727272727,0.0,0.3333333333333333,59.0,34.0,0.5526315789473685,0.937142846894531,0.72,2.0,0.0,1,code_orig_54.py,code_trans_54.py
0.44326583092253297,0.5683741648106905,0.33333333333333304,1.0,0.0,0.0,0.0,1.0,0.75,0.14285714285714285,3.0,0.0,110.0,14.0,0.8803418803418803,0.951841795569047,0.5833333333333334,1.0,0.0,0,code_orig_55.py,code_trans_55.py
0.7939317319848294,0.7248062015503876,0.40000000000000036,4.0,0.0,0.0,0.0,3.0,0.25,0.125,1.0,0.0,98.5,11.0,0.8942307692307693,0.988128566619364,0.6571428571428571,9.0,0.0,1,code_orig_56.py,code_trans_56.py
0.6913106096975516,0.7260857223956855,6.25,1.0,1.0,0.0,0.0,2.0,0.3333333333333333,0.058823529411764705,0.0,0.3333333333333333,84.0,10.0,0.8876404494382022,0.9557866810947299,0.5416666666666666,1.0,0.0,0,code_orig_57.py,code_trans_57.py
0.33545183714001986,0.49514127672297803,3.0,3.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.05263157894736842,1.0,0.25,140.0,130.0,0.36585365853658536,0.9738696591447621,0.6363636363636364,5.0,0.0,0,code_orig_58.py,code_trans_58.py
0.9709351305812974,0.9608890788630049,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.21212121212121213,0.0,1.0,100.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.058823529411764705,1,code_orig_59.py,code_trans_59.py
0.6219221604447974,0.5768854064642507,3.0,5.0,0.0,0.0,0.0,1.0,0.5,0.06666666666666667,1.0,0.0,52.5,29.0,0.5671641791044776,0.9685505407014555,0.5897435897435898,7.0,0.0,0,code_orig_60.py,code_trans_60.py
